Region,"local authority: 
district / unitary",Employed Individuals,Remote Workers,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach","Motorcycle, scooter or moped",Car / Van,Car / Van passengers,Taxi,Bicycle,On foot,Other method of travel,Year
West Midlands,Walsall,105590,7940,241,814,12547,899,61715,8100,309,2155,10587,283,2001
West Midlands,Warwick,62658,6024,53,1215,2051,540,39324,3790,214,2204,7046,197,2001
West Midlands,Wolverhampton,94926,7084,1067,1644,12129,823,52206,7030,524,2534,9579,306,2001
West Midlands,Worcester,47003,3594,15,638,2134,562,27348,3349,119,2198,6917,129,2001
West Midlands,Wychavon,56186,7002,28,644,924,534,37215,3367,115,1379,4766,212,2001
West Midlands,Wyre Forest,47161,4548,15,877,1146,529,30851,3580,211,1031,4230,143,2001
East of England,Babergh,40296,4888,50,1204,1318,370,25138,2360,109,1090,3604,165,2001
East of England,Basildon,77773,5452,442,12655,3085,660,41725,5140,707,1552,6119,236,2001
East of England,Bedford,70513,6669,84,2740,3098,587,42572,4191,233,3222,6796,321,2001
East of England,Braintree,66092,6696,117,5384,1522,634,39823,3892,249,1366,6164,245,2001
East of England,Breckland,55612,6377,44,264,1215,515,35422,3563,170,2314,5480,248,2001
East of England,Brentwood,32807,3197,342,6612,755,295,17189,1420,201,317,2376,103,2001
East of England,Broadland,57964,5656,38,453,3912,1037,37048,3631,117,2594,3083,395,2001
East of England,Broxbourne,43482,3506,746,4976,1141,622,26203,2174,456,619,2905,134,2001
East of England,Cambridge,49236,4217,95,1523,2549,609,18441,1827,157,12758,6890,170,2001
East of England,Castle Point,41035,3252,100,5830,1766,448,24182,2241,183,690,2254,89,2001
East of England,Central Bedfordshire,121032,11744,123,5847,3082,1152,79329,6792,284,2726,9553,400,2001
East of England,Chelmsford,80257,7178,219,9714,3070,772,45004,4041,185,2820,7003,251,2001
East of England,Colchester,75126,6880,111,5210,4587,827,41528,4310,264,3227,7652,530,2001
East of England,Dacorum,69313,6745,327,4132,2665,699,42888,3858,285,836,6646,232,2001
East of England,East Cambridgeshire,37208,4082,37,947,854,381,24874,2204,55,1376,2258,140,2001
East of England,East Hertfordshire,67534,6766,331,6692,1240,623,41445,3098,310,1035,5793,201,2001
East of England,Epping Forest,57853,5671,8792,2572,1350,736,31844,2316,652,433,3297,190,2001
East of England,Fenland,37757,3697,24,419,832,347,24003,2843,138,2534,2746,174,2001
East of England,Forest Heath,28298,2421,18,111,575,244,18540,1826,124,1308,2988,143,2001
East of England,Great Yarmouth,37584,3338,23,254,2532,486,21121,2550,218,1815,4365,882,2001
East of England,Harlow,38824,2489,814,1643,1956,451,22734,3140,473,1149,3860,115,2001
East of England,Hertsmere,46003,4695,1574,4790,1875,552,25804,1987,358,497,3696,175,2001
East of England,Huntingdonshire,82325,8050,53,2338,2263,723,53248,5107,198,3622,6437,286,2001
East of England,Ipswich,54091,3616,34,981,5623,821,28140,3940,143,3092,7490,211,2001
East of England,King`s Lynn and West Norfolk,60197,6674,58,553,1508,690,37754,4119,154,3248,5148,291,2001
East of England,Luton,82362,6027,166,3961,6451,707,46412,6477,832,1432,9564,333,2001
East of England,Maldon,28943,3394,52,2111,379,236,18179,1511,84,690,2160,147,2001
East of England,Mid Suffolk,42629,5462,40,760,1191,466,27536,2366,80,1624,2932,172,2001
East of England,North Hertfordshire,58814,5797,106,4887,1455,567,35174,3151,245,1445,5763,224,2001
East of England,North Norfolk,41411,5449,45,364,1187,480,24111,2411,115,2002,4849,398,2001
East of England,Norwich,53606,3567,41,471,4516,795,23489,3322,262,4691,12169,283,2001
East of England,Peterborough,73295,5524,64,1592,4783,751,42282,5769,384,5643,6256,247,2001
East of England,Rochford,37792,3355,64,5755,1454,399,22104,1845,139,505,2055,117,2001
East of England,South Cambridgeshire,69159,7695,72,1835,2771,964,43372,3316,158,4666,3989,321,2001
East of England,South Norfolk,52626,6326,46,391,2273,724,34184,3086,81,2004,3163,348,2001
East of England,Southend-on-Sea,70177,5617,142,9288,4205,713,35852,3811,397,1917,8002,233,2001
East of England,St Albans,65676,6950,371,9784,1755,537,37058,2747,161,925,5152,236,2001
East of England,St Edmundsbury,50181,5081,39,267,1211,537,31340,3542,255,1734,5977,198,2001
East of England,Stevenage,39576,2779,85,2030,2163,494,24065,3152,187,1147,3381,93,2001
East of England,Suffolk Coastal,52327,5937,80,832,1582,835,32851,2838,139,2804,4171,258,2001
East of England,Tendring,53642,5488,85,2654,1427,621,31757,3439,271,2419,5202,279,2001
East of England,Three Rivers,40565,4136,3265,1848,1149,473,24704,1853,198,531,2243,165,2001
East of England,Thurrock,69534,4801,669,9298,3037,1026,40041,4438,505,1165,4341,213,2001
East of England,Uttlesford,35045,4584,158,2670,369,271,21453,1586,111,519,3155,169,2001
East of England,Watford,41648,3261,1109,2979,1774,499,23186,2012,202,941,5560,125,2001
East of England,Waveney,46001,4168,44,443,1868,794,26564,2833,224,3880,4445,738,2001
East of England,Welwyn Hatfield,46157,4131,349,3990,1465,467,26900,2567,240,1269,4605,174,2001
London,Barking and Dagenham,65864,4010,10469,7192,6933,1032,27006,2864,507,1021,4665,165,2001
London,Barnet,145920,15467,33433,7631,12906,1661,59224,4071,898,1351,8772,506,2001
London,Bexley,103629,7537,906,24757,7740,2018,48467,4126,907,1039,5878,254,2001
London,Brent,118704,10886,30793,7328,15273,1139,39643,3222,464,1933,7614,409,2001
London,Bromley,141497,12653,2826,39030,9547,2109,59775,4235,741,1333,8792,456,2001
London,Camden,91868,9860,29596,5299,11480,1250,13703,1073,958,3362,14654,633,2001
London,City of London,4290,432,937,149,214,30,263,14,77,74,2049,51,2001
London,Croydon,156741,13372,6553,32819,18259,2031,62940,4978,756,1615,12705,713,2001
London,Ealing,143766,12256,33620,6892,15376,1642,55957,4170,432,3157,9748,516,2001
London,Enfield,121257,9985,15728,12304,12193,1312,55098,4165,843,1437,7839,353,2001
London,Greenwich,91586,6581,7024,22144,12354,1483,30848,2669,565,1336,6295,287,2001
London,Hackney,79226,6937,14369,5235,20575,1227,16052,1172,577,4940,7811,331,2001
London,Hammersmith and Fulham,83023,7376,31245,3046,8892,1828,14921,857,420,3942,10068,428,2001
London,Haringey,95732,8416,33295,5983,12319,1202,24284,1580,310,2388,5657,298,2001
London,Harrow,97759,9644,19408,4758,6877,742,45321,3124,505,848,6180,352,2001
London,Havering,104537,7500,8067,18600,7381,1379,48864,4188,960,914,6407,277,2001
London,Hillingdon,117044,9624,11327,3583,10327,1433,65142,4766,515,2019,7933,375,2001
London,Hounslow,103623,8667,13112,5671,12314,1448,46771,3479,301,3185,8265,410,2001
London,Islington,79855,6711,22514,3700,15238,1126,12415,1011,990,3770,11972,408,2001
London,Kensington and Chelsea,75571,10259,26358,2074,7951,1278,12748,1094,1465,2130,9529,685,2001
London,Kingston upon Thames,74893,6783,1877,14625,6303,1297,31808,2045,297,2331,7207,320,2001
London,Lambeth,130736,9873,38538,18848,19277,2350,24736,1504,440,5407,9250,513,2001
London,Lewisham,114583,8350,10094,33003,15797,1656,32833,2482,499,2121,7342,406,2001
London,Merton,94943,8052,18905,16184,7513,1422,31369,2087,365,2220,6485,341,2001
London,Newham,86428,7053,26251,8351,10497,728,23324,1956,413,1188,6351,316,2001
London,Redbridge,106114,8967,24530,9970,6696,1180,42604,3253,1451,966,6115,382,2001
London,Richmond upon Thames,89408,9852,7449,16793,6314,1537,34645,1747,229,3493,6881,468,2001
London,Southwark,107868,8313,20228,12694,23848,1642,21939,1620,718,3965,12202,699,2001
London,Sutton,90291,7411,3175,14110,6392,1673,44142,3402,506,1930,7260,290,2001
London,Tower Hamlets,73938,5658,27597,3772,7685,835,12228,1021,786,2213,11667,476,2001
London,Waltham Forest,97777,6735,26849,9326,9300,1155,32126,2553,786,1708,6915,324,2001
London,Wandsworth,141191,10809,39731,25290,14266,3179,28757,1747,474,5498,10863,577,2001
London,Westminster,89472,9906,28420,3253,11071,1123,11809,1103,1453,2496,17969,869,2001
South East,Adur,27166,2458,15,1615,1447,376,16044,1668,93,1083,2265,102,2001
South East,Arun,60400,6326,44,1975,1429,744,36695,3667,354,3058,5808,300,2001
South East,Ashford,48872,5541,53,2620,1409,428,29466,3171,143,1330,4483,228,2001
South East,Aylesbury Vale,86232,9545,134,3260,2010,680,54767,4744,497,1781,8475,339,2001
South East,Basingstoke and Deane,82628,7768,68,3262,3079,730,52556,5407,290,1983,7172,313,2001
South East,Bracknell Forest,60010,5431,53,2133,1565,603,39462,3344,236,1672,5240,271,2001
South East,Brighton and Hove,117551,10870,202,9854,14642,953,50733,5730,623,3168,20162,614,2001
South East,Canterbury,57035,5696,90,2206,1984,579,32213,3650,268,1744,8283,322,2001
South East,Cherwell,70240,6779,60,1177,3465,698,42743,4604,257,2755,7435,267,2001
South East,Chichester,47996,6476,78,1603,918,425,27891,2525,109,2052,5588,331,2001
South East,Chiltern,43123,5691,1991,2590,511,324,26461,1803,114,457,3004,177,2001
South East,Crawley,51470,3667,40,3166,3220,463,31319,3430,427,1507,4034,197,2001
South East,Dartford,42255,3044,95,5902,1944,799,23813,2551,299,477,3217,114,2001
South East,Dover,45040,3864,40,1086,1618,595,26900,3395,449,1216,5586,291,2001
South East,East Hampshire,55117,6472,55,2396,860,527,35345,2849,101,1132,5030,350,2001
South East,Eastbourne,36713,3146,39,1619,2177,341,20228,2422,261,1269,5016,195,2001
South East,Eastleigh,60532,5175,42,1523,2432,966,40537,3631,93,1686,4201,246,2001
South East,Elmbridge,58786,7238,333,9351,1102,863,32595,1926,154,1630,3304,290,2001
South East,Epsom and Ewell,33199,3066,326,5293,902,547,18045,1233,181,812,2661,133,2001
South East,Fareham,54358,4658,42,1577,1487,1002,36058,3137,184,2109,3642,462,2001
South East,Gosport,37295,2530,35,467,2441,866,19595,2310,183,3977,4396,495,2001
South East,Gravesham,43960,3617,86,3453,3641,599,24877,3252,174,563,3520,178,2001
South East,Guildford,67097,6981,124,5695,2140,603,38687,3150,152,1696,7500,369,2001
South East,Hart,45499,4871,58,2451,591,462,30312,1962,96,1208,3204,284,2001
South East,Hastings,35498,3075,36,1532,1925,420,19422,2959,339,534,5111,145,2001
South East,Havant,53011,4293,24,1288,2802,712,33321,3976,384,1993,3972,246,2001
South East,Horsham,61172,7127,54,3452,1171,481,38916,2920,93,1216,5489,253,2001
South East,Isle of Wight,54483,5796,86,633,2144,1065,29508,3240,109,1658,9081,1163,2001
South East,Lewes,41137,4672,39,2511,2266,405,23357,2352,226,679,4461,169,2001
South East,Maidstone,69471,7003,71,4260,2965,603,42182,3954,186,862,7096,289,2001
South East,Medway,119260,9084,194,9369,6519,1578,70078,8515,413,1620,11381,509,2001
South East,Mid Sussex,64744,6920,60,6999,943,536,38244,3286,215,970,6270,301,2001
South East,Milton Keynes,108075,9253,151,3909,5118,1010,67986,8732,871,3265,7405,375,2001
South East,Mole Valley,39164,4954,102,4141,449,382,23274,1595,91,648,3327,201,2001
South East,New Forest,77054,8607,84,1378,1835,1110,50454,4099,137,3293,5384,673,2001
South East,Oxford,60093,5068,116,1079,9814,637,22638,2533,209,8927,8826,246,2001
South East,Portsmouth,87019,5872,76,2094,7471,1104,43922,5690,1131,6160,12894,605,2001
South East,Reading,73600,5452,98,4737,8953,704,35187,3655,218,3028,11306,262,2001
South East,Reigate and Banstead,64184,6475,257,7280,1432,778,38012,2899,379,1021,5382,269,2001
South East,Rother,33380,4725,43,1961,610,337,19585,1863,93,477,3537,149,2001
South East,Runnymede,39037,3700,141,2516,560,477,25170,1695,117,1294,3210,157,2001
South East,Rushmoor,49923,4219,33,2221,1292,691,30597,3051,187,2032,5378,222,2001
South East,Sevenoaks,52029,5948,102,8473,1020,677,28837,2303,206,481,3783,199,2001
South East,Shepway,41815,4192,48,1124,1578,435,24843,3038,230,877,5210,240,2001
South East,Slough,58399,4265,312,2715,2572,517,35611,3965,491,1714,6035,202,2001
South East,South Bucks,30135,3960,389,1734,446,245,19601,1289,95,456,1768,152,2001
South East,South Oxfordshire,66738,7883,99,2869,1821,734,41293,3259,108,2502,5889,281,2001
South East,Southampton,98210,6511,79,1991,11223,1495,52002,6769,372,4226,13063,479,2001
South East,Spelthorne,46924,3998,385,2898,1753,785,30349,1900,134,1452,3108,162,2001
South East,Surrey Heath,42608,4593,61,2029,732,387,28908,1902,83,828,2903,182,2001
South East,Swale,55712,5107,60,3649,1576,673,32896,3775,217,1547,5975,237,2001
South East,Tandridge,39166,4760,99,5266,933,462,22834,1635,133,310,2536,198,2001
South East,Test Valley,57137,5899,57,1293,1655,689,36692,3566,183,1667,5157,279,2001
South East,Thanet,49197,4443,64,1315,2717,662,27461,3809,603,1577,6278,268,2001
South East,Tonbridge and Malling,53038,5282,62,5150,1458,624,31938,2921,127,920,4370,186,2001
South East,Tunbridge Wells,50864,5808,72,6259,1290,401,26889,2619,141,616,6516,253,2001
South East,Vale of White Horse,59832,6241,59,1090,3091,770,36040,3220,69,4031,4981,240,2001
South East,Waverley,56396,7082,81,4709,1217,508,34073,2582,93,977,4764,310,2001
South East,Wealden,64514,8893,81,3560,1501,497,40569,3380,189,725,4810,309,2001
South East,West Berkshire,77568,8501,91,3032,3419,752,48136,4359,151,2071,6712,344,2001
South East,West Oxfordshire,50469,5796,67,765,2340,470,31113,2851,89,2459,4310,209,2001
South East,Winchester,53306,6387,58,2178,1722,528,31335,2620,110,1012,6987,369,2001
South East,Windsor and Maidenhead,68149,7805,214,4320,1198,647,42284,2877,247,1908,6250,399,2001
South East,Woking,46258,4296,103,5445,1022,477,27255,2287,185,1232,3782,174,2001
South East,Wokingham,81279,8675,87,4273,3608,750,52962,3457,162,2153,4878,274,2001
South East,Worthing,44180,3841,31,1968,1284,537,25395,2721,314,2336,5581,172,2001
South East,Wycombe,81954,8931,420,3083,2853,806,52982,4171,164,1196,7068,280,2001
South West,Bath and North East Somerset,80257,8258,80,1951,6163,1106,43561,4522,226,1949,12095,346,2001
South West,Bournemouth,72395,6988,82,1019,5306,1221,42140,4251,252,2892,7911,333,2001
South West,"Bristol, City of",177057,12944,164,1515,22244,2746,89525,11082,550,8108,27607,572,2001
South West,Cheltenham,53099,4641,40,376,2503,637,28972,3059,163,3661,8852,195,2001
South West,Christchurch,18143,1788,17,275,728,256,11710,950,52,824,1460,83,2001
South West,Cornwall,212989,29613,153,1346,5780,3370,124554,14135,842,3618,27427,2151,2001
South West,Cotswold,39280,5842,99,421,537,363,23701,2173,70,1119,4706,249,2001
South West,East Devon,52509,7932,46,945,1354,715,30163,3082,155,1096,6425,596,2001
South West,East Dorset,37060,4556,22,192,577,536,26050,1955,40,1025,1938,169,2001
South West,Exeter,51634,4016,52,462,4998,876,25462,3459,143,2304,9661,201,2001
South West,Forest of Dean,37549,4551,18,135,1091,427,24523,2722,49,500,3335,198,2001
South West,Gloucester,52525,3767,24,228,3433,809,31616,3697,90,3181,5514,166,2001
South West,Isles of Scilly,1270,295,-,4,4,32,224,26,6,152,499,28,2001
South West,Mendip,48881,6295,26,281,817,554,30170,2893,157,1337,6124,227,2001
South West,Mid Devon,32847,5454,22,130,800,426,19161,1931,59,767,3924,173,2001
South West,North Devon,39316,6041,25,106,1217,600,20805,2447,97,1414,6328,236,2001
South West,North Dorset,28730,4052,34,256,400,302,16667,1469,82,725,4583,160,2001
South West,North Somerset,88733,9657,56,1327,4332,1222,55921,5612,300,2260,7722,324,2001
South West,Plymouth,106295,7008,68,363,12694,2282,57205,8316,641,2806,14035,877,2001
South West,Poole,64217,5683,54,715,3308,1121,40322,4084,150,2791,5661,328,2001
South West,Purbeck,20333,2417,17,334,351,328,12412,1237,59,713,2299,166,2001
South West,Sedgemoor,48146,5713,22,185,916,687,29746,2928,121,2992,4594,242,2001
South West,South Gloucestershire,127755,10907,54,826,8291,2300,83580,8062,205,3782,9339,409,2001
South West,South Hams,37003,5843,39,221,827,615,21591,2008,93,426,4953,387,2001
South West,South Somerset,71240,8262,70,303,1321,1108,43594,4308,166,2622,9166,320,2001
South West,Stroud,52389,6312,51,413,1262,650,34449,3258,54,1048,4720,172,2001
South West,Swindon,93953,6657,38,865,7184,1658,55409,6830,531,4777,9712,292,2001
South West,Taunton Deane,48052,5238,35,298,1164,879,27657,2899,93,3190,6338,261,2001
South West,Teignbridge,53228,6828,34,616,1584,867,33132,3359,115,700,5712,281,2001
South West,Tewkesbury,38103,4107,29,156,1673,439,24547,2122,65,1908,2933,124,2001
South West,Torbay,53543,5807,35,270,2437,950,30218,4038,220,831,8371,366,2001
South West,Torridge,25522,4634,10,65,544,370,14083,1740,72,318,3492,194,2001
South West,West Devon,22208,3960,25,143,462,230,12865,1213,62,251,2807,190,2001
South West,West Dorset,39912,6110,65,338,685,498,23103,2152,140,1026,5515,280,2001
South West,West Somerset,14393,2617,17,62,290,137,7395,702,37,486,2543,107,2001
South West,Weymouth and Portland,28263,2430,14,239,2306,613,15670,2069,171,946,3601,204,2001
South West,Wiltshire,217278,24185,278,3790,5985,2586,131430,13092,539,7885,26396,1112,2001
Wales,Anglesey,26167,3260,15,148,598,205,16442,2089,110,448,2610,242,2001
Wales,Blaenau Gwent,25133,1445,3,75,1010,142,15507,3384,201,146,3135,85,2001
Wales,Bridgend,52865,3702,27,596,2201,412,34224,5626,342,502,4972,261,2001
Wales,Caerphilly,67295,4388,26,1806,3592,490,42288,7647,375,466,6008,209,2001
Wales,Cardiff,130270,8691,97,2567,14266,776,72780,9299,549,3514,17196,535,2001
Wales,Carmarthenshire,67558,9742,41,485,1704,482,41940,5641,257,716,6099,451,2001
Wales,Ceredigion,29653,5789,20,97,798,163,16263,2082,95,309,3837,200,2001
Wales,Conwy,43731,5605,29,331,1823,299,26391,3201,218,740,4742,352,2001
Wales,Denbighshire,38277,4426,16,300,1011,232,23446,3205,257,697,4390,297,2001
Wales,Flintshire,69452,5415,40,419,2704,715,47456,5778,421,1189,4988,327,2001
Wales,Gwynedd,46911,6984,20,265,1924,237,26230,3467,179,741,6566,298,2001
Wales,Merthyr Tydfil,19887,1225,4,220,1620,89,11868,2433,125,111,2125,67,2001
Wales,Monmouthshire,38313,4948,24,469,651,367,24645,2551,141,474,3823,220,2001
Wales,Neath Port Talbot,50051,3301,36,485,2442,497,31985,5289,260,674,4794,288,2001
Wales,Newport,56325,3811,36,773,5554,534,34077,4982,286,820,5249,203,2001
Wales,Pembrokeshire,44897,7377,41,169,1353,332,25793,3672,199,364,5190,407,2001
Wales,Powys,56925,11422,35,202,672,336,32126,3461,168,739,7379,385,2001
Wales,"Rhondda, Cynon, Taff",88385,5612,31,2254,4942,553,54458,10898,218,449,8561,409,2001
Wales,Swansea,88111,6655,62,450,6387,678,55159,8344,603,1024,8232,517,2001
Wales,The Vale of Glamorgan,52118,4409,48,2045,2278,514,32968,3975,266,980,4364,271,2001
Wales,Torfaen,36852,2267,23,255,1643,341,24201,3831,309,378,3483,121,2001
Wales,Wrexham,57080,4849,23,208,3149,494,36116,5671,396,908,4989,277,2001
